game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
709.4200,10.9300,34.7876,24.4632,4.2711,13.1874,13.2921,6.9234,17.2277,33.9534,24.8107,4.5919,14.5677,24.0130,37.1489,12.8140,18.9959,8.9293,21.7835,29.3773,26.3674,16.7774,35.4804,4.7785,21.2533
709.3800,10.9000,34.7931,23.9691,3.7819,13.0490,13.2366,6.8207,17.2104,34.0317,24.4227,4.8557,14.0078,23.8932,37.0722,12.7817,19.0171,9.0441,21.9039,29.4613,26.0954,16.7017,35.4369,4.6895,20.6317
709.3400,10.8800,34.7472,23.9068,3.4209,12.9135,13.1613,6.7211,17.1695,34.0613,24.0588,5.1336,13.4541,23.6856,37.0358,12.7531,19.0382,9.1652,22.0461,29.5357,25.8250,16.6281,35.3986,4.5885,19.9853
709.3000,10.8600,34.6865,23.6003,3.1994,12.7709,13.0645,6.6003,17.1539,34.0790,23.7093,5.4483,12.9172,23.4761,37.0059,12.7060,19.0487,9.2719,22.1789,29.5987,25.5513,16.5551,35.3679,4.5660,19.3449
709.2600,10.8300,34.4982,22.7963,2.5770,12.6453,12.9098,6.4689,17.0708,34.0906,23.3762,5.7836,12.3867,23.2188,37.0152,12.6511,19.0568,9.3657,22.2898,29.6497,25.2833,16.4813,35.3397,4.5530,18.6818
709.2200,10.8100,34.3054,22.7228,2.5318,12.5041,12.7797,6.3421,16.9874,34.1132,23.0718,6.1971,11.8949,22.9868,37.0595,12.5847,19.0401,9.4204,22.3544,29.6839,25.0264,16.4068,35.3150,4.5311,18.0123
709.1800,10.7900,34.0707,22.6651,2.4869,12.3466,12.6466,6.2322,16.9357,34.1296,22.7854,6.6250,11.4229,22.7551,37.1071,12.5084,19.0671,9.4625,22.4100,29.7023,24.7796,16.3338,35.2962,4.5877,17.3599
709.1400,10.7600,33.0044,21.2069,3.4077,12.1897,12.5304,6.1719,16.8820,34.1504,22.5111,7.0628,10.9690,22.5219,37.1067,12.4215,19.0471,9.4899,22.4547,29.6989,24.5343,16.2622,35.2782,4.6625,16.7078
709.1000,10.7400,31.7258,20.3533,3.8735,12.0390,12.4150,6.0930,16.8035,34.1704,22.2608,7.5353,10.5691,22.2909,37.1523,12.3263,19.0196,9.5014,22.4858,29.6803,24.3067,16.1959,35.2680,4.7777,16.0570
709.0600,10.7200,30.4918,19.5169,4.1311,11.8853,12.2927,6.0069,16.7599,34.1865,22.0342,7.9808,10.2211,22.0716,37.2123,12.2192,18.9523,9.5119,22.4983,29.6574,24.0837,16.1695,35.2929,4.9306,15.3977
709.0200,10.6900,29.3254,18.6277,4.3716,11.7321,12.1529,5.9329,16.7109,34.2092,21.8466,8.4205,9.9015,21.8662,37.2090,12.1422,18.9369,9.5093,22.4943,29.6242,23.8667,16.1448,35.3191,5.0941,14.7549
